Source,cluster,count,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
sci,33,6,"cost parameter, 0.0813, 1, 8 ; long term, 0.0542, 1, 2 ; cost savings, 0.0302, 2, 4 ; case study north, 0.0292, 3, 3 ; offshore grid development, 0.0252, 1, 1",0.2444,1.0,cost parameter ; long term ; cost savings ; case study north ; offshore grid development
sci,34,11,"inter array, 0.0461, 0, 0 ; offshore wind, 0.0294, 7, 17 ; circuit breakers, 0.0250, 2, 5 ; offshore grid, 0.0217, 10, 16 ; monte carlo, 0.0205, 3, 3",0.3455,1.0,inter array ; offshore wind ; circuit breakers ; offshore grid ; monte carlo
sci,35,18,"fault ride, 0.0167, 7, 9 ; circuit breakers, 0.0109, 3, 4 ; ac grid, 0.0103, 2, 7 ; dc link, 0.0097, 1, 4 ; wind turbines, 0.0096, 6, 9",0.2259,1.0,fault ride ; circuit breakers ; ac grid ; dc link ; wind turbines
sci,36,8,"stability offshore, 0.0341, 3, 4 ; harmonic stability, 0.0313, 1, 2 ; hvdc system, 0.0295, 6, 12 ; system performance, 0.0271, 4, 7 ; converter controller, 0.0202, 3, 6",0.4,1.0,stability offshore ; harmonic stability ; hvdc system ; system performance ; converter controller
sci,37,15,"grid design, 0.0342, 4, 9 ; offshore wind, 0.0327, 12, 28 ; paper presents, 0.0174, 6, 6 ; floating wind, 0.0165, 1, 4 ; offshore grid, 0.0158, 14, 19",0.4533,1.0,grid design ; offshore wind ; paper presents ; floating wind ; offshore grid
sci,38,5,"numerical simulation, 0.0591, 1, 2 ; service buildings, 0.0554, 1, 6 ; energy consumption, 0.0503, 2, 7 ; energy conservation, 0.0370, 3, 3 ; building energy, 0.0331, 1, 1",0.2933,1.0,numerical simulation ; service buildings ; energy consumption ; energy conservation ; building energy
sci,39,9,"optimization algorithm, 0.0301, 4, 8 ; transmission system, 0.0275, 3, 9 ; system costs, 0.0192, 2, 5 ; life cycle, 0.0175, 2, 4 ; power flow, 0.0167, 2, 5",0.3259,1.0,optimization algorithm ; transmission system ; system costs ; life cycle ; power flow
sci,40,3,"critical modes, 0.0848, 3, 6 ; small signal, 0.0674, 1, 1 ; signal stability, 0.0613, 3, 5 ; small signal stability, 0.0613, 1, 1 ; vsc based, 0.0330, 0, 0",0.6667,1.0,critical modes ; small signal ; signal stability ; small signal stability ; vsc based
sci,41,29,"offshore grid, 0.0281, 25, 57 ; north sea, 0.0258, 18, 38 ; baltic seas, 0.0146, 3, 6 ; grid north, 0.0146, 6, 8 ; grid north sea, 0.0142, 4, 4",0.5103,1.0,offshore grid ; north sea ; baltic seas ; grid north ; grid north sea
sci,42,16,"offshore wind, 0.0368, 13, 31 ; offshore wind energy, 0.0347, 7, 14 ; wind energy, 0.0333, 8, 17 ; legal framework, 0.0329, 8, 10 ; law sea, 0.0179, 5, 5",0.575,1.0,offshore wind ; offshore wind energy ; wind energy ; legal framework ; law sea
sci,43,3,"control algorithms, 0.0621, 2, 2 ; modular multilevel converter, 0.0610, 1, 1 ; multilevel converter, 0.0610, 1, 1 ; simulation tool, 0.0601, 2, 2 ; modular multilevel, 0.0584, 1, 1",0.4889,1.0,control algorithms ; modular multilevel converter ; multilevel converter ; simulation tool ; modular multilevel
sci,44,1,"energy islands, 0.4974, 0, 0 ; rights reserved, 0.4825, 1, 1",0.3333,1.0,energy islands ; rights reserved
sci,45,1,"low energy, 0.4390, 1, 2 ; high frequency, 0.2336, 1, 1 ; monte carlo, 0.2139, 1, 1 ; energy island, 0.0947, 0, 0",0.9,1.0,low energy ; high frequency ; monte carlo ; energy island
