Source,cluster,count,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
sci,48,20,"wind farms, 0.0230, 10, 20 ; wind energy conversion, 0.0204, 1, 1 ; energy conversion, 0.0191, 2, 3 ; north sea, 0.0188, 7, 13 ; transmission system, 0.0172, 6, 12",0.2667,1.0,wind farms ; wind energy conversion ; energy conversion ; north sea ; transmission system
sci,49,2,"dynamic model, 0.0374, 2, 4 ; european countries, 0.0370, 2, 2 ; different control, 0.0364, 2, 2 ; european offshore grid, 0.0364, 2, 2 ; pan european, 0.0362, 0, 0",0.9333,1.0,dynamic model ; european countries ; different control ; european offshore grid ; pan european
sci,50,3,"electrical power, 0.1282, 1, 4 ; individual generation, 0.1102, 2, 6 ; energy islanding, 0.0671, 2, 4 ; heating cooling, 0.0637, 1, 2 ; grid power, 0.0600, 2, 4",0.5111,1.0,electrical power ; individual generation ; energy islanding ; heating cooling ; grid power
sci,51,1,"publishing ltd, 0.4190, 1, 1 ; green energy, 0.3617, 0, 0 ; energy island, 0.2006, 1, 1",0.6667,1.0,publishing ltd ; green energy ; energy island
sci,52,1,"temporal spatial, 0.2992, 0, 0 ; long term, 0.1226, 0, 0 ; 100 km, 0.0958, 1, 1 ; time series, 0.0863, 1, 1 ; elsevier ltd rights, 0.0852, 0, 0",0.3333,1.0,temporal spatial ; long term ; 100 km ; time series ; elsevier ltd rights
sci,53,11,"2011 ieee, 0.0588, 1, 1 ; energy island, 0.0563, 6, 8 ; energy conversion, 0.0238, 2, 2 ; energy island concept, 0.0228, 1, 1 ; energy storage, 0.0222, 4, 8",0.2485,1.0,2011 ieee ; energy island ; energy conversion ; energy island concept ; energy storage
sci,54,1,"barrier islands, 0.4755, 1, 7 ; fetch limited, 0.3396, 0, 0 ; low energy, 0.0529, 0, 0 ; short term, 0.0482, 1, 1 ; wave energy, 0.0453, 1, 1",0.5333,1.0,barrier islands ; fetch limited ; low energy ; short term ; wave energy
sci,55,7,"rights reserved, 0.1360, 1, 1 ; low energy, 0.1196, 2, 3 ; energy system, 0.0686, 1, 1 ; arc shaped, 0.0572, 1, 2 ; energy islands, 0.0561, 0, 0",0.1714,0.0,rights reserved ; low energy ; energy system ; arc shaped ; energy islands
sci,56,1,"energy islands, 0.9885, 1, 1",1.0,1.0,energy islands
sci,57,2,"energy source, 0.2508, 2, 2 ; hydrogen energy, 0.2000, 1, 1 ; district heating, 0.1343, 1, 2 ; energy island, 0.1169, 2, 2 ; primary energy, 0.0591, 1, 1",0.7333,1.0,energy source ; hydrogen energy ; district heating ; energy island ; primary energy
sci,58,7,"grid spacing, 0.1115, 2, 2 ; sea level, 0.1083, 2, 4 ; taylor francis, 0.1004, 0, 0 ; time series, 0.0832, 1, 3 ; offshore grid, 0.0632, 5, 5",0.2381,1.0,grid spacing ; sea level ; taylor francis ; time series ; offshore grid
sci,59,1,"energy production, 0.5273, 1, 1 ; power plants, 0.4682, 1, 1",1.0,1.0,energy production ; power plants
sci,60,3,"energy islands, 0.2736, 0, 0 ; rights reserved, 0.1958, 2, 2 ; three dimensional, 0.1353, 0, 0 ; taylor francis, 0.1211, 0, 0 ; elsevier ltd rights, 0.0700, 0, 0",0.1778,0.0,energy islands ; rights reserved ; three dimensional ; taylor francis ; elsevier ltd rights
