Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
reg,20,22,6.79966,6.664633,"land plant, 0.0158, 13, 35 ; nuclear power, 0.0119, 2, 27 ; architectural competition, 0.0118, 4, 11 ; citizens meeting, 0.0102, 0, 0 ; helle munk ravnborg, 0.0101, 6, 33",0.2638,1.0,land plant ; nuclear power ; architectural competition ; citizens meeting ; helle munk ravnborg
reg,21,8,6.188234,5.9682794,"nuclear power, 0.0601, 2, 26 ; association energy islands, 0.0197, 2, 5 ; peter juel jensen, 0.0193, 0, 0 ; energy islands bornholm, 0.0184, 6, 15 ; citizens association energy, 0.0183, 0, 0",0.2222,1.0,nuclear power ; association energy islands ; peter juel jensen ; energy islands bornholm ; citizens association energy
reg,22,5,7.357637,7.60494,"bornholm museum, 0.1702, 5, 29 ; finn ole, 0.0885, 1, 25 ; ole sonne, 0.0607, 1, 19 ; peter juel jensen, 0.0306, 0, 0 ; connection energy islands, 0.0304, 3, 5",0.4667,1.0,bornholm museum ; finn ole ; ole sonne ; peter juel jensen ; connection energy islands
reg,23,11,5.7690325,6.1842084,"next year, 0.0288, 4, 6 ; baltic sea, 0.0271, 6, 21 ; henrik espersen, 0.0263, 1, 11 ; baltic bridge, 0.0224, 1, 7 ; peter juel jensen, 0.0198, 1, 1",0.303,1.0,next year ; baltic sea ; henrik espersen ; baltic bridge ; peter juel jensen
reg,24,13,7.135978,4.8297935,"local plan, 0.0326, 3, 7 ; large scale, 0.0167, 0, 0 ; green transition, 0.0150, 7, 11 ; public private, 0.0118, 2, 2 ; look like, 0.0115, 1, 2",0.1608,0.0,local plan ; large scale ; green transition ; public private ; look like
reg,25,7,6.5939918,6.631926,"debate salon, 0.0382, 1, 4 ; national assembly, 0.0288, 2, 4 ; citizens meeting, 0.0242, 0, 0 ; association energy islands, 0.0233, 3, 9 ; citizens association energy, 0.0213, 0, 0",0.181,0.0,debate salon ; national assembly ; citizens meeting ; association energy islands ; citizens association energy
reg,26,21,6.832633,7.846937,"municipal elections, 0.0211, 1, 1 ; election campaign, 0.0192, 1, 1 ; net east, 0.0150, 1, 4 ; frederik tolstrup, 0.0129, 1, 8 ; must ensure, 0.0128, 2, 2",0.0508,0.0,municipal elections ; election campaign ; net east ; frederik tolstrup ; must ensure
reg,27,7,6.7119884,5.4964356,"cost effective, 0.0314, 0, 0 ; north sea, 0.0251, 4, 10 ; million ton, 0.0220, 1, 1 ; energy islands, 0.0181, 9, 25 ; long term, 0.0179, 0, 0",0.1897,0.0,cost effective ; north sea ; million ton ; energy islands ; long term
reg,28,17,7.9439178,7.8900394,"drinking water, 0.0188, 2, 11 ; campus bornholm, 0.0159, 2, 7 ; business park, 0.0130, 4, 33 ; jens hjul nielsen, 0.0102, 0, 0 ; press release, 0.0102, 4, 7",0.1193,0.0,drinking water ; campus bornholm ; business park ; jens hjul nielsen ; press release
reg,29,13,8.4783535,6.739517,"solar cell, 0.0202, 1, 11 ; transformer station, 0.0175, 3, 9 ; offshore wind turbines, 0.0139, 9, 16 ; data center, 0.0115, 1, 8 ; artificial island, 0.0100, 2, 3",0.1882,0.0,solar cell ; transformer station ; offshore wind turbines ; data center ; artificial island
reg,30,15,9.079162,6.383272,"danish energy agency, 0.0219, 13, 65 ; offshore wind turbines, 0.0185, 13, 27 ; make sense, 0.0183, 1, 1 ; bornholm offshore wind, 0.0176, 0, 0 ; price zone, 0.0159, 2, 20",0.3253,1.0,danish energy agency ; offshore wind turbines ; make sense ; bornholm offshore wind ; price zone
reg,31,11,6.6731634,7.3724203,"social democracy, 0.0495, 9, 33 ; plan strategy, 0.0466, 2, 30 ; unity list, 0.0270, 4, 20 ; jens hjul nielsen, 0.0185, 0, 0 ; thursday evening, 0.0160, 3, 3",0.4121,1.0,social democracy ; plan strategy ; unity list ; jens hjul nielsen ; thursday evening
reg,32,12,7.849647,7.4566483,"baltic energy island, 0.0270, 6, 21 ; rønne harbor, 0.0248, 4, 12 ; green transition, 0.0162, 8, 15 ; development strategy, 0.0151, 1, 2 ; jacob consolation, 0.0141, 4, 9",0.4222,1.0,baltic energy island ; rønne harbor ; green transition ; development strategy ; jacob consolation
