cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
15,9,51,0,"islands bornholm, 0.0250, 48, 264 ; energy islands bornholm, 0.0248, 48, 264 ; energy islands, 0.0185, 58, 378 ; møller christensen, 0.0067, 10, 37 ; søren møller christensen, 0.0067, 10, 37",0.7067,1.0,islands bornholm ; energy islands bornholm ; energy islands ; møller christensen ; søren møller christensen
16,0,25,0,"center bornholm, 0.0350, 13, 57 ; business center, 0.0308, 10, 44 ; business center bornholm, 0.0290, 10, 41 ; bornholm companies, 0.0220, 12, 33 ; press release, 0.0181, 7, 19",0.4427,1.0,center bornholm ; business center ; business center bornholm ; bornholm companies ; press release
17,0,12,0,"baltic sea, 0.0545, 10, 40 ; rønne harbor, 0.0454, 8, 20 ; thomas bendtsen, 0.0308, 2, 10 ; wind turbines, 0.0185, 8, 27 ; gas station, 0.0164, 3, 7",0.5944,1.0,baltic sea ; rønne harbor ; thomas bendtsen ; wind turbines ; gas station
18,0,5,0,"district heating, 0.0572, 4, 13 ; waste heat, 0.0349, 2, 7 ; year ago, 0.0301, 1, 2 ; heat pumps, 0.0290, 2, 5 ; surplus heat, 0.0271, 2, 11",0.4933,1.0,district heating ; waste heat ; year ago ; heat pumps ; surplus heat
19,0,5,0,"jens hjul, 0.0813, 3, 20 ; hjul nielsen, 0.0739, 0, 0 ; jens hjul nielsen, 0.0739, 0, 0 ; campus bornholm, 0.0611, 1, 6 ; electricity network, 0.0370, 2, 5",0.2533,1.0,jens hjul ; hjul nielsen ; jens hjul nielsen ; campus bornholm ; electricity network
20,0,9,0,"social democracy, 0.0457, 6, 29 ; election campaign, 0.0456, 4, 13 ; peter juel jensen, 0.0399, 0, 0 ; juel jensen, 0.0397, 0, 0 ; peter juel, 0.0396, 4, 23",0.3704,1.0,social democracy ; election campaign ; peter juel jensen ; juel jensen ; peter juel
21,1,47,1,"land plant, 0.0225, 25, 82 ; land facility, 0.0109, 24, 47 ; consultation response, 0.0095, 9, 18 ; green energy, 0.0095, 18, 33 ; energy island, 0.0081, 49, 238",0.4531,1.0,land plant ; land facility ; consultation response ; green energy ; energy island
22,0,10,0,"land facility, 0.0422, 8, 16 ; high voltage, 0.0407, 4, 5 ; architectural competition, 0.0331, 3, 12 ; fridrik adamsson, 0.0262, 2, 8 ; søgaard mikkelsen, 0.0262, 3, 8",0.48,1.0,land facility ; high voltage ; architectural competition ; fridrik adamsson ; søgaard mikkelsen
23,4,16,0,"magnus brogaard, 0.0137, 6, 26 ; offshore wind, 0.0116, 17, 126 ; cip foundation, 0.0099, 1, 10 ; 000 tonnes, 0.0087, 3, 8 ; copenhagen infrastructure, 0.0085, 10, 13",0.39,1.0,magnus brogaard ; offshore wind ; cip foundation ; 000 tonnes ; copenhagen infrastructure
24,0,14,0,"social democracy, 0.0641, 11, 92 ; people meeting, 0.0487, 0, 0 ; municipal council, 0.0351, 10, 52 ; group chairman, 0.0205, 8, 19 ; rené danielsson, 0.0194, 3, 14",0.4952,1.0,social democracy ; people meeting ; municipal council ; group chairman ; rené danielsson
