Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
reg,46,36,7.988492,-2.717981,"energy islands bornholm, 0.0125, 26, 85 ; baltic sea, 0.0125, 18, 36 ; gas station, 0.0121, 5, 7 ; electric cars, 0.0110, 2, 10 ; district heating, 0.0107, 10, 22",0.4162,1.0,energy islands bornholm ; baltic sea ; gas station ; electric cars ; district heating
reg,47,30,8.891327,-2.3989587,"offshore wind, 0.0278, 32, 251 ; bornholm offshore wind, 0.0270, 6, 8 ; offshore wind farm, 0.0263, 28, 97 ; open door, 0.0142, 9, 33 ; wind turbine, 0.0136, 28, 110",0.6343,1.0,offshore wind ; bornholm offshore wind ; offshore wind farm ; open door ; wind turbine
reg,49,1,7.9062753,-2.1781352,"wave energy, 0.1071, 4, 11 ; renewable energy, 0.0879, 14, 28 ; energy conversion, 0.0472, 2, 2 ; energy energy, 0.0398, 0, 0 ; wind energy, 0.0345, 4, 9",0.2606,1.0,wave energy ; renewable energy ; energy conversion ; energy energy ; wind energy
reg,73,3,7.0534325,-1.3632015,"renewable energy, 0.1300, 6, 15 ; create new, 0.0558, 1, 1 ; wind farm, 0.0555, 1, 3 ; sustainable energy, 0.0521, 1, 1 ; make sense, 0.0346, 1, 1",0.381,1.0,renewable energy ; create new ; wind farm ; sustainable energy ; make sense
reg,91,1,9.394194,0.51646006,"offshore grid, 0.1409, 25, 59 ; north sea, 0.0664, 18, 40 ; cross border, 0.0173, 0, 0 ; transmission system, 0.0171, 6, 8 ; electricity infrastructure, 0.0170, 2, 2",0.4263,1.0,offshore grid ; north sea ; cross border ; transmission system ; electricity infrastructure
reg,103,1,7.8861957,1.0142213,"energy storage, 0.2041, 9, 17 ; storage system, 0.0488, 3, 4 ; power generation, 0.0448, 3, 3 ; energy system, 0.0445, 3, 10 ; power grid, 0.0335, 1, 4",0.4424,1.0,energy storage ; storage system ; power generation ; energy system ; power grid
sci,2,1,7.6438375,-0.05427035,"north sea, 0.0128, 23, 62 ; 10 gw, 0.0119, 9, 23 ; energy islands, 0.0114, 29, 143 ; sustainable energy, 0.0111, 2, 4 ; island north sea, 0.0106, 14, 19",0.5689,1.0,north sea ; 10 gw ; energy islands ; sustainable energy ; island north sea
sci,3,5,7.3233366,0.8154913,"electricity grid, 0.0286, 8, 37 ; co2 emissions, 0.0253, 2, 5 ; electricity consumption, 0.0236, 9, 29 ; electricity generation, 0.0228, 5, 10 ; per cent, 0.0169, 3, 10",0.3259,1.0,electricity grid ; co2 emissions ; electricity consumption ; electricity generation ; per cent
sci,5,3,9.034202,0.23698041,"north sea, 0.0212, 6, 29 ; wind energy, 0.0196, 9, 10 ; offshore wind, 0.0174, 8, 47 ; european commission, 0.0171, 2, 7 ; european energy, 0.0170, 3, 4",0.5389,1.0,north sea ; wind energy ; offshore wind ; european commission ; european energy
sci,10,4,8.163963,-0.39959452,"north sea, 0.0412, 20, 128 ; island north sea, 0.0183, 15, 34 ; artificial island, 0.0183, 11, 25 ; energy islands north, 0.0141, 10, 26 ; islands north sea, 0.0140, 10, 26",0.6758,1.0,north sea ; island north sea ; artificial island ; energy islands north ; islands north sea
sci,21,1,7.918344,-4.365369,"land plant, 0.0225, 25, 82 ; land facility, 0.0109, 24, 47 ; consultation response, 0.0095, 9, 18 ; green energy, 0.0095, 18, 33 ; energy island, 0.0081, 49, 238",0.4531,1.0,land plant ; land facility ; consultation response ; green energy ; energy island
